日语一级至四级级词汇表																
汉字	假名(读音)	词性	词义
飽かす	あかす	他五	令人厌腻；不吝啬、充分使用
明かす	あかす	他五	过夜；证明；道破、透露
赤ちゃん	あかちゃん	名	婴儿
暁	あかつき	名	黎明；……实现之时
明かり	あかり	名	光线；灯光
上がる	あがる	自五，補助	上、登、升；提高、长进；（谦语）去；结束、完成；怯场；（敬语）吃、喝；做好；完全
揚がる	あがる	自五	炸好
明るい	あかるい	形	明亮的；开朗、活泼的；通晓
空き	あき	名	空闲；缺编、空缺
秋	あき	名	秋天
飽き，厭き	あき	名	厌、腻
空き巣	あきす	名	空窝；空宅、空房子
商う	あきなう	他五	经商
明らか	あきらか	形動	明亮；明显、显然、确切
諦める	あきらめる	他下一	放弃、死心
飽きる	あきる	自上一	厌烦
呆れる	あきれる	自下一	吃惊、发呆；厌烦
開く，明く	あく	自五	开
空く	あく	自五	有空隙；闲着；缺编
悪	あく	名	坏、恶
悪意	あくい	名	恶意；怀的意思；（法）明知故犯
悪質	あくしつ	名，形動	恶劣；质量不好
握手	あくしゅ	名，サ変	握手、协作
悪臭	あくしゅう	名	恶臭、难闻的气味
悪習	あくしゅう	名	恶习
悪循環	あくじゅんかん	名	恶性循环
悪性	あくせい	名，形動	恶性、指病难痊愈
あぐねる	あぐねる	自下一	厌、烦、腻（多接在动词连用形之后）
欠伸	あくび	名	哈欠
あくまで	あくまで	副	到底、彻底、始终
悪名	あくめい	名	名声不好
悪用	あくよう	名，サ変	滥用
明くる	あくる	連体	下、此、翌
明け方	あけがた	名	黎明
揚げ句	あげく	名	日本的连歌或俳句的最后一句；最终
開ける	あける	他下一	打开（门、包装等）
明ける	あける	他下一	天明；过年；期满、结束
空ける	あける	他下一	空出；腾出；不在家
挙げる	あげる	他下一	举；举出；举行；发动；扬（名）
上げる	あげる	他下一	举起、拎起；进房间；升学；进步、提高；增加数量、加深程度；得益；完成；显效；送给；出声
揚げる	あげる	他下一	举起；油炸；起（货）
顎	あご	名	下巴
憧れる	あこがれる	自下一	向往、憧憬；被异性所吸引
朝	あさ	名	早上、上午
麻	あさ	名	麻、麻布
痣	あざ	名	痣
浅い	あさい	形	浅；（时间等）短；肤浅、少的；颜色淡
嘲る	あざける	他五	愚弄、嘲笑
明後日	あさって	名	后天
朝寝坊	あさねぼう	名，サ変	早上睡懒觉（的人）
朝晩	あさばん	名，副	早晚
朝日	あさひ	名	朝日
浅ましい	あさましい	形	悲惨；卑鄙的
欺く	あざむく	他五	欺骗；赛过、胜似
鮮やか	あざやか	形動	鲜明；出色
足	あし	名	脚、腿、（器物的）腿儿
葦	あし	名	芦苇
味	あじ	名	味道、风味；滋味、甜头；趣味、情调
足跡	あしあと	名	脚印；总计；业绩、成就
足音	あしおと	名	脚步声
足掛かり	あしがかり	名	脚手架、登高时的踏脚处；线索、头绪
味気ない	あじきない	形	乏味的、无聊的
明日	あした	名	明天
足手まとい	あしてまとい	名，形動	累赘
足取り	あしどり	名	脚步、步伐；踪迹；行情、动态
足並み	あしなみ	名	步伐；步调
足場	あしば	名	脚手架；立足点；交通之便
足踏み	あしぶみ	名，サ変	原地踏步；停滞
足元	あしもと	名	立脚点、基础；身旁、左右
あしらう	あしらう	他五	招待、应付；冷淡对待；点缀、配
味わう	あじわう	他五	品尝；玩味、欣赏；体验
明日	あす	名	明天
預かる	あずかる	他五	收存、保管；照顾；承担、担任
与る	あずかる	自五	参与；蒙受（夸奖、好处）
預ける	あずける	他下一	寄存；托付、委托
汗	あせ	名	汗；水滴
汗ばむ	あせばむ	自五	出汗
汗疹	あせも	名	痱子
焦る	あせる	自五	着急、焦躁
褪せる	あせる	自下一	褪色；衰退
あそこ	あそこ	代	那里；那种地步；那种程度；那一点
遊ばす	あそばす	他五	让……玩；闲置
遊ぶ	あそぶ	自五	玩耍；旅行、游学；没工作；不起作用
仇	あだ	名	仇人；仇恨；危害
徒	あだ	名，形動	徒然、白费
価	あたい	名	（商品等的）价格；价值
値	あたい	名	数学值
与える	あたえる	他下一	授予；给予；使蒙受
あたかも	あたかも	副	宛如；正值
暖かい，温かい	あたたかい	形	温暖；和睦；富足
暖まる，温まる	あたたまる	自五	变热；感到温暖
暖める，温める	あたためる	他下一	加热；孵蛋；珍藏、重温；悄悄地据为己有
渾名，綽名	あだな	名	小名、外号
頭	あたま	名	头
頭金	あたまきん	名	定金、押金
新しい	あたらしい	形	新的；新式的；新鲜的、有活力的；现代的、进步的
辺り	あたり	名	周围；大约；之类的
当たり前	あたりまえ	形動	当然；普通
当たる	あたる	自五	晒（太阳）；吹（风）等；顺利、成功；击中、命中、猜队；粗暴对待；承担、担任；对抗；被指名；查探；查、对照；相当于；（与否定连用表示）没必要
あちこち	あちこち	代	到处；顺序乱
あちら	あちら	代，名	那边；那个；那位
熱い	あつい	形	温度高；体温高、热烈的
暑い	あつい	形	气温高
厚い	あつい	形	有厚度；人情深厚；程度很深
篤い	あつい	形	病重；志笃、（感情）深厚
悪化	あっか	名，サ変	（人的品行、事物状态等）变坏、恶化
扱う	あつかう	他五	操作；对待、待遇；处理；出售；报道
厚かましい	あつかましい	形	无耻、脸皮厚
呆気ない	あっけない	形	（内容等）过于简单、未尽兴
あっさり	あっさり	副	清淡；轻易
圧縮	あっしゅく	名，サ変	加压；压缩
斡旋	あっせん	名，サ変	斡旋、调停；介绍
あっという間に	あっというまに	連語	转眼功夫、一瞬间
圧倒	あっとう	名，サ変	压倒
圧迫	あっぱく	名，サ変	压迫感；威压、压制
集まる	あつまる	自五	集合、聚集；收集；集中
集める	あつめる	他下一	使集合；收集、征集；集中、吸引
誂える	あつらえる	他下一	定做、点菜
圧力	あつりょく	名	压力；威压
当て	あて	名	目的、目标；指望；信用、信赖
当てつける	あてつける	他下一	指桑骂槐；炫耀关系好
宛て名	あてな	名	收信（件）人姓名和地址
当てはまる	あてはまる	自五	适用、合适
当てはめる	あてはめる	他下一	适用；套用
当てる	あてる	他下一	碰撞；命中；晒；紧靠；中（奖）；猜对、预测正确；指名、委派
充てる	あてる	他下一	充当
後	あと	名	后面；后方；以后；之后；那么、再见；（顺序）后；死后；后任、后继者、续弦；剩下的；其后、还有
跡	あと	名	（猎物等的）痕迹；印记；遗迹、遗物、废墟等；继任、继承家业
後味	あとあじ	名	余味；回味
後先	あとさき	名	先后、顺序；前因后果
後始末	あとしまつ	名，サ変	善后处理
跡継ぎ，後継ぎ	あとつぎ	名	后代；后任、接班人
跡取	あととり	名	继承人
後払い	あとばらい	名，サ変	后付款、赊账
穴孔	あな	名	洞、穴；亏空
強ち	あながち	副	未必
貴方	あなた	代	你、您
侮る	あなどる	他五	侮辱、轻视
兄	あに	名	哥哥
姉	あね	名	姐姐；嫂子
あの	あの	連体	那个（远称）；那
暴く	あばく	他五	揭发；发掘
痘痕	あばた	名	麻子
暴れる	あばれる	自下一	胡闹；闯荡
浴びせる	あびせる	他下一	浇、泼（水等）；使蒙受、遭受；不断地质问、非难
浴びる	あびる	他上一	洗、淋浴、泼；沐浴；受到非难、质问、赞扬等
危ない	あぶない	形	危险的；垂危；不稳定、不确定；靠不住；危急、千钧一发
油，脂	あぶら	名	油
脂，膏	あぶら	名	脂肪
焙る，炙る	あぶる	他五	取暖、烘干；烤
溢れる	あふえる	自下一	溢、慢；形容人很多；充满、洋溢
あべこべ	あべこべ	形動	相反、颠倒
阿呆	あほう	名，形動	蠢；傻子
甘い	あまい	形	甜；淡、咸味不足；指声音甜；不严格、宽松；考虑简单、浅薄、天真；男女关系好；松弛；钝
甘える	あまえる	自下一	撒娇；承蒙
雨具	あまぐ	名	雨具
余す	あます	他五	剩下；剩
遍く	あまねく	副	到处、普遍
余り	あまり	名，副，接尾	剩余；过分；太、很；不怎么；余、多
余りに	あまりに	副	非常、太、很
余る	あまる	自五	剩、余；胜过
網	あみ	名	网；罗网
編む	あむ	他五	编织；编纂
雨	あめ	名	雨、雨点般
飴	あめ	名	饴糖
綾，文	あや	名	花纹、斜纹；条理、理由；修辞
怪しい	あやしい	形	奇怪的；可疑的、难以置信的；靠不住的、不确定的；要变坏的
怪しむ	あやしむ	他五	怀疑、觉得奇怪
操る	あやつる	他五	耍（木偶）；熟练的掌握、运用；驾驭、操纵
あやふや	あやふや	形動	含糊；靠不住
過ち	あやまち	名	失败、错；过失
誤る	あやまる	他五	错、弄错；耽误、贻误
謝る	あやまる	他五	认错
歩み寄る	あゆみよる	自五	接近、靠近；妥协、让步
歩む	あゆむ	自五	步行；前进、进展
荒い	あらい	形	粗暴；剧烈；胡来
粗い	あらい	形	粗、大；粗糙
洗う	あらう	他五	洗；洗刷、冲洗；调查、查清
嵐	あらし	名	暴风雨；纠纷、困难
荒らす	あらす	他五	使乱七八糟、使荒芜；骚扰、偷盗
粗筋	あらすじ	名	梗概
争う	あらそう	他五	竞争；争吵、争论；主张、申辩
改まる	あらたまる	自五	更新；变好；郑重、客气
改めて	あらためて	副	稍后；再次
改める	あらためる	他下一	更新、改；改正；语言、态度等郑重；调查、计算
あらゆる	あらゆる	連体	所有、一切
現す	あらわす	他五	使其出现；发挥
著す	あらわす	他五	撰写、著
表わす	あらわす	他五	表露；表现；意味着
現れる	あらわれる	自下一	显露；出现；来
表れる	あらわれる	自下一	露出、呈现
蟻	あり	名	蚂蚁
ありありと	ありありと	副	清清楚楚地、活生生地
有り合わせ	ありあわせ	名	现有、现成
在り方	ありかた	名	存在的状态；应有的状态、理想的状态
有り難い	ありがたい	形	宝贵的；难得、感激
ありがとう	ありがとう	感	谢谢
有様	ありさま	名	状态、状况、形式
在る	ある	自五	存在、活着；位于
有る	ある	自五	具备、有；举行；发生；有果、经历；有（数量）；用“……してある”的形式表示行为的完成；用“……である”的形式表示断定
或る	ある	連体	某
或いは	あるいは	接	或者；用于列举同类事项；也许
歩く	あるく	自五	步行；外出
主	あるじ	名	主人、店主；持有者
あれ	あれ	代，感	那个；那件事；那时；那个人；那儿；哎呀
荒れる	あれる	自下一	海浪汹涌；荒废、荒芜；皮肤变粗糙、皴裂；行为、秩序等杂乱无章
泡	あわ	名	泡沫
淡い	あわい	形	颜色浅、味道淡；微少的
合わせる，併せる	あわせる	他下一	合并；相加、合计；调整机械、乐器；适应；切合；核对；使一致、配合；混合
慌ただしい	あわただしい	形	不稳定的；慌忙、匆忙
慌てる	あわてる	自下一	着慌、慌忙
哀れ	あわれ	名	可怜、怜悯；情趣、情感
案	あん	名	计划、提案；想法、意见；预想、意料
安易	あんい	形動	容易；马马虎虎的
案外	あんがい	形動，副	意外的（地）
暗記	あんき	名，サ変	背诵
暗号	あんごう	名	暗号
暗殺	あんさつ	名，サ変	暗杀
暗算	あんざん	名，サ変	心算
暗示	あんじ	名，サ変	暗示
暗礁	あんしょう	名	暗礁
案じる	あんじる	他上一	想办法；担心
安心	あんしん	名，サ変，形動	安心、放心
安静	あんせい	形動，名	静养
安全	あんぜん	名，形動	安全
安定	あんてい	名，サ変	安定、稳定
案内	あんない	名，サ変	引导；通知；直到、了解
塩梅	あんばい	名	咸淡、口味；光景、状态；身体状况
安否	あんぴ	名	是否平安
安眠	あんみん	名，サ変	安眠
安楽	あんらく	名，形動	安乐、舒服
胃	い	名	胃
良い，好い	いい	形	好；适合；行、可以；最好、希望；容易
言い返す	いいかえす	他五	顶嘴、还口
言い換える	いいかえる	他下一	换个说法
いい加減	いいかげん	名，副，形動	适度地；无根据、不负责任；很、相当
言い損なう	いいそこなう	他五	说错、失言；（该说而）没说、忘说
言いつける	いいつける	他下一	命令；告状
言い直す	いいなおす	他五	改口、重说
許嫁	いいなずけ	名	小时父母定的婚约；未婚夫（妻）
言い残す	いいのこす	他五	留话；遗言
言い訳	いいわけ	名	辩解、解释
医院	いいん	名	（私人）诊所、（小规模）医院
委員	いいん	名	委员
言う	いう	自，他五	说；有声响；询问；批评、评价；表达；叫、称做；议论、谣言；美言、讲情
家	いえ	名	房子；家；门第
家柄	いえがら	名	门第、家世
硫黄	いおう	名	硫磺
以下	いか	名	（数量、程度等）以下；下面
以外	いがい	名	（除了……）之外
意外	いがい	形動	意外的（地）
如何	いかが	副，形動	怎样、如何
医学	いがく	名	医学
生かす	いかす	他五	使活着；使用；使复活
如何に	いかに	副	怎样；多么、怎么
いかにも	いかにも	副	真的、的确；诚然、果然
厳しい	いかめしい	形	庄严、威严
錨	いかり	名	锚
怒る	いかる	自五	生气；挺起、耸起
遺憾	いかん	名，形動	遗憾
息	いき	名	呼吸；步调；喘不上气来
粋	いき	形動	洋气、气质不凡；通晓人情
意気	いき	名	意气；精神、气势
異議	いぎ	名	异议、抗议
意義	いぎ	名	意义；重要的、有意义的
生き生き	いきいき	副	生气勃勃、新鲜地
勢い	いきおい	名	力；活力、生气；劲头、情况；势力
生き甲斐	いきがい	名	生存的意义
生き返る	いきかえる	自五	复活；恢复精神、记忆
息切れ	いきぎれ	名，サ変	气喘；（工作等）中途停止
意気込み	いきごみ	名	干劲、热情
経緯	いきさつ	名	（事件的）经过；（事物的）内情
行き過ぎる	いきすぎる	自上一	通过；过分
行き違い	いきちがい	名	错过；分歧、不一致
行き詰まる	いきづまる	自五	走到尽头；事物进展不顺利
行き届く	いきとどく	自五	周到
いきなり	いきなり	副	突然、冷不防
息抜き	いきぬき	名，サ変	稍作休息、散心
生き残る	いきのこる	自五	幸存
生き物	いきもの	名	活物、生物
生きる	いきる	自上一	谋生、维持生计；有效、有影响；生动、栩栩如生
行く	いく	自五	去；寄到；过去、逝去；往来、上班、上学；事情进展；以某种方式作；满足
幾つ	いくつ	名	几个；几岁
幾ら	いくら	名	多少、多少钱；无论如何、即使也
幾度	いくど	副	几回；几度
池	いけ	名	池子、水池；砚池
いけない	いけない	形	不好的、不行的；没有希望的、没有指望的；禁止
生ける	いける	他下一	插花；栽花
意見	いけん	名，サ変	想法；忠告、建议
威厳	いげん	名	威严
以後	いご	名	以后
囲碁	いご	名	围棋
憩い	いこい	名	休息
移行	いこう	名，サ変	转移、过度
意向	いこう	名	意图、愿望
潔い	いさぎよい	形	坦率、勇敢；干脆
聊か，些か	いささか	副	仅仅、很少
勇ましい	いさましい	形	勇敢的；大胆的；雄壮
諫める	いさめる	他下一	禁止、制止；劝告、谏告
遺産	いさん	名	遗产；（先人的）功绩
石	いし	名	石子；宝石
意志	いし	名	意志；意向
意思	いし	名	想法、打算
意地	いじ	名	气质、性情；固执、要强；物欲、食欲
遺児	いじ	名	遗腹子
維持	いじ	名，サ変	维持
意識	いしき	名	知觉；认识、觉悟到；意识
異質	いしつ	名	性质不同；相异性
苛める	いじめる	他下一	虐待；戏弄
医者	いしゃ	名	医生
衣装	いしょう	名	服装；盛装、戏装
異常	いじょう	名，形動	异常的、非同寻常的
以上	いじょう	名	上述；完、终；以上、既然
衣食	いしょく	名	衣食、生活
移植	いしょく	名，サ変	移植
いじらしい	いじらしい	形	可爱；令人怜爱
弄る	いじる	他五	抚弄、玩弄；玩味、摆弄；随意改动
意地悪	いじわる	名，形動	心眼坏的
椅子	いす	名	椅子；职位
泉	いずみ	名	泉、泉水；源泉
何れ,孰れ	いずれ	代，副	二者之中、多者之中、其中；归根结底、终归；不久、最近
威勢	いせい	名	威力、势力；精神、元气
異性	いせい	名	异性
以前	いぜん	名	以前、过去
依然	いぜん	副	依然
磯	いそ	名	海岸、湖滨
忙しい	いそがしい	形	忙碌
急ぐ	いそぐ	自他五	着急、赶紧；急、忙
遺族	いぞく	名	遗属
板	いた	名	板
遺体	いたい	名	遗体
痛い	いたい	形	疼痛；难受；（被触及弱点而）感到痛苦
偉大	いだい	形動	伟大
痛々しい	いたいたしい	形	悲惨、可怜
委託	いたく	名，サ変	委托
抱く	いだく	他五	抱；怀有、抱有
致す	いたす	他五	“する”的谦恭说法；引起
悪戯	いたずら	名，サ変，形動	恶作剧、淘气（的）
頂く，戴く	いただく	他五	顶、戴、顶在上面；领受、蒙……赐给；“食う、飲む”的谦恭说法；请、给
痛手	いたで	名	重伤、重创；沉重的打击
痛む，傷む	いたむ	自五	身体疼痛；心痛、伤心；损坏
炒める	いためる	他下一	炒
痛める	いためる	他下一	弄疼；令人痛苦
傷める	いためる	他下一	损坏；使食品腐烂
至る	いたる	自五	到、至；到（某时）；涉及到；结果为
労わる	いたわる	他五	照顾；慰劳
異端	いたん	名	异端、邪说
市	いち	名	市场
位置	いち	名	位置；地位
一一	いちいち	副	逐一；全部；详细
一応	いちおう	副	大体上；暂且
一概に	いちがいに	副	一概、无例外地
一時	いちじ	名，副	同时；瞬间；那时、过去；暂时；1点钟
著しい	いちじるしい	形	显著的、明显的
一族	いちぞく	名	同族
一段	いちだん	副	更加、越发
一度	いちど	名	一次
一同	いちどう	名	全部、全体
一日	いちにち	名	一天；一整天；某日
一人前	いちにんまえ	名	（食物）一份儿；成人、能顶一个人
市場	いちば	名	市场、集市
一番	いちばん	名，副	第一；最；最好
一部	いちぶ	名	一部分；一册、一卷
一面	いちめん	名	事物的一个方面；一面、全面；报纸头版
一目	いちもく	名	一眼
一覧	いちらん	名，サ変	一览；便览
一流	いちりゅう	名	一流、头等；独特
何時	いつ	代	何时
一家	いっか	名	一家
一気に	いっきに	副	一口气；一下子、疾速地
一見	いっけん	名，サ変，副	稍微一看；乍一看
一向	いっこう	副	完全、全然地；一点也不
一国	いっこく	名，形動	一刻、片刻；顽固的
一切	いっさい	名，副	一切；全然
一種	いっしゅ	名	一种
一瞬	いっしゅん	名	一瞬间
一緒	いっしょ	名	一起做；同时发生；在一起
一生	いっしょう	名	一生；生命
一心	いっしん	名	专心、齐心
逸する	いっする	サ変	失去、错过；脱离；忘记、落下
一線	いっせん	名	界线；第一线
いっそ	いっそ	副	索性、倒不如
一層	いっそう	副	更加
一体	いったい	名，副	一体、同心协力；总的来说、整体上；到底（表示强烈疑问）
一旦	いったん	副	一旦、既然；万一；姑且
一致	いっち	名，サ変	一致、调和；对应
一定	いってい	名，サ変	一定
いつの間にか	いつのまにか	副	不知不觉
一杯	いっぱい	名，副	一杯、一碗；饮少量的酒；满满的；全部、占满；极限；许多
一般	いっぱん	名	整个、普通；普通、一般
一歩	いっぽ	名	一步、一个阶段
一方	いっぽう	名，副助，接	一方面；（立场不同的双方中的）其中一方；一个劲儿地、一直；另一方面
いつも	いつも	副	经常地；平常
偽る	いつわる	他五	欺骗；说谎
遺伝	いでん	名，サ変	遗传
糸	いと	名	线；乐器的弦；钓鱼线；线状物
意図	いと	名，サ変	意图
井戸	いど	名	井
従兄弟	いとこ	名	堂兄弟（姐妹）、表兄弟（姐妹）
営む	いとなむ	動	从事；经营；营造
暇	いとま	名	闲暇、余暇；休假；解雇、辞职；告辞
挑む	いどむ	動	挑战；挑衅；挑逗
以内	いない	接尾	以内
田舎	いなか	名	乡下、地方上的；故乡
稲妻	いなずま	名	闪电；飞快
委任	いにん	名，サ変	委任
犬	いぬ	名	狗；间谍、鹰犬
稲	いね	名	水稻
命	いのち	名	生命；寿命；最重要的
祈る	いのる	他五	（向神佛）祈祷；祝愿、希望
威張る	いばる	自五	趾高气扬、自吹自擂
違反	いはん	名，サ変	违反
鼾	いびき	名	鼾声
訝しい	いぶかしい	形	可疑、奇怪
息吹	いぶき	名	呼吸；气息
衣服	いふく	名	衣服
違法	いはう	名	违法
今	いま	名，副	现在；当前；马上；正好、方才；用[今少しで]的形式，表示“几乎”
居間	いま	名	起居室
忌々しい	いまいましい	形	可恶、可恨
戒める	いましめる	他下一	训斥、警告；禁止
未だに	いまだに	副	还、仍然
意味	いみ	名	意思；动机；含义；主旨、要点；意义
芋	いも	名	薯的总称
妹	いもうと	名	妹妹
嫌	いや	形動	令人厌烦的
嫌がる	いやがる	自五	讨厌、厌恶
卑しい	いやしい	形	寒碜；卑鄙；卑贱；嘴馋
癒す	いやす	他五	治疗；解渴、充饥
いよいよ	いよいよ	副	越发；终于；果真、确实
意欲	いよく	名	干劲、热情
依頼	いらい	名，サ変	拜托、请求；依靠、依赖；委托
以来	いらい	名	那之后、以来；今后
いらいら	いらいら	副，サ変	情绪急躁、心理不安
いらっしゃる	おらっしゃる	自五	（敬语）来；（敬语）去；（敬语）在
入り口	いりぐち	名	入口
要る	いる	自五	需要、必要
居る	いる	自上一	（指人、动物等）有、在、居住在
射る	いる	他上一	射；击中；照射
入る	いる	自五	进入
炒る	いる	他五	炒、煎
衣類	いるい	名	衣类（衣服的总称）
入れる	いれる	他下一	装、放入；让入、让进；容纳；镶嵌；购进、输入；雇用、采用；添、加；承认、容忍；加入；入校、住院；包含；交钱；投票；想、记住；集中；倒（茶、咖啡等）；使起作用；听
色	いろ	名	色彩；肤色；表情；景象、样子；种类；恋爱、女色
色色	いろいろ	名，副，形動	各种各样
色気	いろけ	名	魅力；春心；野心
彩る	いろどる	他五	着色；装饰
岩	いわ	名	岩石
祝う	いわう	他五	庆祝；祝贺、贺礼
言わば	いわば	副	说起来、可以说
所謂	いわゆる	連体	所谓的
因果	いんが	名	因果；不幸
印刷	いんさつ	名，サ変	印刷
印象	いんしょう	名	印象
引退	いんたい	名，サ変	引退
いんちき	いんちき	名，形動	骗人、捣鬼、假货
陰謀	いんぼう	名	阴谋
引用	いんよう	名，サ変	引用
引力	いんりょく	名	引力
上	うえ	名	上面；表面；有关；还、而且；之后；既然……就；（接尾词）对长辈的敬称
植え付ける	うえつける	他下一	种植物；灌输（思想、意识等）
飢える	うえる	自下一	饥饿；渴望
植える	うえる	他下一	种、植；嵌入；打疫苗
魚	うえる	名	鱼
伺う	うかがう	他五	打听；听说；访问；发言、讲话
窺う	うかがう	他五	偷窥；察言观色；瞄准机会；察知
浮かぶ	うかぶ	自五	浮上水面、在空中飘；浮现、显露；想起
浮かべる	うかべる	他下一	浮、泛；露出、现出；想起
受かる	うかる	自五	考上、考中；及格
浮き上がる	うきあがる	自五	飘浮在空中、浮在水面上；现出轮廓；脱离；翻身、发迹
浮き彫り	うきぼり	名	浮雕；突出的表现
浮き世	うきよ	名	（不尽人意的）世上、社会上
浮く	うく	自五	浮、飘、现；结余、剩余；高兴
受け入れる	うけいれる	他下一	接受；采纳；接纳
承る	うけたまわる	他五	谨听；听说；谨受
受け付ける	うけつける	他下一	受理；接受、采纳；对（药品、食物等）吸收
受け取る	うけとる	他五	接、收、领；理解
受け身	うけみ	名	被动、守势；消极；（语法）被动态
受ける	うける	自，他下一	获得；接住、挡住；接受邀请、要求；接受；上课、接受考试；遭到；响应、接受；继承；受欢迎
動かす	うごかす	他五	使活动、开动、移动；变更；使感动、施加影响；使形动；影响；经营
動く	うごく	自五	动、晃动；转动、开动；摇晃；活动；（受到影响而）行动；变更、变动
兎	うさぎ	名	兔
胡散	うさん	形動	蹊跷
牛	うし	名	牛
失う	うしなう	他五	失去、丧失；错过；丧、亡
後ろ	うしろ	名	后面；后背
後ろ向き	うしろ向き	名	背身、背对着；消极
埋もれる	うずもれる	自下一	被埋上；埋没
渦巻き	うずまき	名	漩涡
薄い	うすい	形	薄的；色、味淡；（浓度、密度）低；程度低、缺乏
薄める	うすめる	他下一	弄淡、弄稀
嘘	うそ	名	谎言；错误；不合适、不合时宜
歌う	うたう	他五	唱、唱歌；作诗（歌）；鸟儿鸣唱
疑う	うたがう	他五	猜疑；担心、怀疑；嫌疑
疑わしい	うたがわしい	形	可疑、奇怪
家	うち	名	房屋；自己的家（庭）
内	うち	名	里面、内；内心；自己所在的组织、团体；在一定的范围、区域之内；（时间）以内；出于某种状态之中
打ち上げる	うちあげる	他下一	发射；被浪涛冲上岸；工作结束
打ち合わせる	うちあわせる	他下一	使碰撞、互击；商量
内側	うちがわ	名	内侧；内部的事
宇宙	うちゅう	名	宇宙
打つ	うつ	自他五	打、敲响；敲打；击（球）；击（键盘）；注射；撒；（围棋等）下子；令人感动、打动
うっかり	うっかり	副，サ変	迷糊、心不在焉；疏忽
美しい	うつくしい	形	美好的、优美的；高尚的
移す	うつす	他五	移动；调动工作、转校；转移（注意力）；移交；改变状态；传染
写す，映す	うつす	他五	誊写、抄写；拍照；描写
訴える	うったえる	他下一	控告、诉讼；主张；诉诸于……；感动、打动
鬱陶しい	うっとうしい	形	烦闷；讨厌、不痛快
うっとり	うっとり	副，サ変	出神、入迷
